country,iso2,iso3,iso_numeric,g_whoregion,year,e_pop_num,e_inc_100k,e_inc_100k_lo,e_inc_100k_hi,e_inc_num,e_inc_num_lo,e_inc_num_hi,e_tbhiv_prct,e_tbhiv_prct_lo,e_tbhiv_prct_hi,e_inc_tbhiv_100k,e_inc_tbhiv_100k_lo,e_inc_tbhiv_100k_hi,e_inc_tbhiv_num,e_inc_tbhiv_num_lo,e_inc_tbhiv_num_hi,e_mort_exc_tbhiv_100k,e_mort_exc_tbhiv_100k_lo,e_mort_exc_tbhiv_100k_hi,e_mort_exc_tbhiv_num,e_mort_exc_tbhiv_num_lo,e_mort_exc_tbhiv_num_hi,e_mort_tbhiv_100k,e_mort_tbhiv_100k_lo,e_mort_tbhiv_100k_hi,e_mort_tbhiv_num,e_mort_tbhiv_num_lo,e_mort_tbhiv_num_hi,e_mort_100k,e_mort_100k_lo,e_mort_100k_hi,e_mort_num,e_mort_num_lo,e_mort_num_hi,cfr,cfr_lo,cfr_hi,cfr_pct,cfr_pct_lo,cfr_pct_hi,c_newinc_100k,c_cdr,c_cdr_lo,c_cdr_hi
Kenya,KE,KEN,404,AFR,2000,30642887,451,182,839,138000,56000,257000,69,,,309,116,597,95000,35000,183000,41,15,80,13000,4600,24000,142,56,268,44000,17000,82000,183,89,311,56000,27000,95000,0.46,0.11,0.84,46,11,84,209,46,25,120
Kenya,KE,KEN,404,AFR,2001,31619181,499,178,982,158000,56000,310000,62,,,310,100,637,98000,32000,201000,52,21,98,17000,6500,31000,143,49,285,45000,16000,90000,195,90,340,62000,28000,107000,0.46,0.09,0.86,46,9,86,231,46,24,130
Kenya,KE,KEN,404,AFR,2002,32629818,534,174,1090,174000,57000,356000,57,,,306,87,657,100000,29000,215000,61,25,112,20000,8200,37000,141,44,295,46000,14000,96000,202,91,358,66000,30000,117000,0.45,0.08,0.86,45,8,86,246,46,23,140
Kenya,KE,KEN,404,AFR,2003,33652217,610,161,1350,205000,54000,455000,54,,,329,74,770,111000,25000,259000,73,31,134,25000,10000,45000,153,38,344,51000,13000,116000,226,92,418,76000,31000,141000,0.47,0.06,0.9,47,6,90,280,46,21,170
Kenya,KE,KEN,404,AFR,2004,34713455,634,155,1440,220000,54000,500000,52,,,329,68,792,114000,23000,275000,78,33,142,27000,12000,49000,153,35,354,53000,12000,123000,231,92,432,80000,32000,150000,0.47,0.06,0.91,47,6,91,290,46,20,190
Kenya,KE,KEN,404,AFR,2005,35796484,630,156,1420,225000,56000,510000,52,,,325,67,780,116000,24000,279000,77,32,140,27000,12000,50000,151,35,350,54000,13000,125000,228,91,427,82000,32000,153000,0.46,0.06,0.9,46,6,90,287,46,20,180
Kenya,KE,KEN,404,AFR,2006,36904012,646,153,1490,239000,56000,549000,52,,,337,76,786,124000,28000,290000,78,44,122,29000,16000,45000,157,40,352,58000,15000,130000,235,101,426,87000,37000,157000,0.47,0.06,0.91,47,6,91,294,45,20,190
Kenya,KE,KEN,404,AFR,2007,38036346,618,159,1380,235000,60000,525000,48,,,296,73,671,112000,28000,255000,81,45,127,31000,17000,48000,138,38,302,53000,14000,115000,219,102,381,83000,39000,145000,0.45,0.08,0.87,45,8,87,280,45,20,180
Kenya,KE,KEN,404,AFR,2008,39206352,564,169,1190,221000,66000,467000,45,,,254,73,545,100000,29000,214000,78,44,123,31000,17000,48000,119,37,247,47000,15000,97000,197,100,326,77000,39000,128000,0.43,0.09,0.81,43,9,81,255,45,21,150
Kenya,KE,KEN,404,AFR,2009,40408892,566,169,1200,229000,68000,484000,44,,,249,71,535,101000,29000,216000,80,45,125,32000,18000,51000,117,37,243,47000,15000,98000,197,101,324,79000,41000,131000,0.43,0.09,0.81,43,9,81,255,45,21,150
